globaleventid,sqldate,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl
1120582762,20230813,202308,2023,2023.6110,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,0341,034,03,1,7.0,1,1,1,2.33576642335766,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,0,,,,,,,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,20230813,https://www.eldoradonews.com/news/2023/aug/13/sanders-picks-new-secretary-of-state-parks/
1120624107,20230813,202308,2023,2023.6110,EDU,SCHOOL,,,,,,EDU,,,,,,,,,,,,,0,051,051,05,1,3.4,4,1,4,2.71281571562208,2,"Arizona, United States",US,USAZ,33.7712,-111.388,AZ,0,,,,,,,2,"Arizona, United States",US,USAZ,33.7712,-111.388,AZ,20230813,https://www.azcentral.com/story/news/local/arizona-people/2023/08/13/lloyd-hopkins-hopes-to-expand-teacher-support-nonprofit-in-arizona/70404314007/
1120643109,20230813,202308,2023,2023.6110,EDU,STUDENT,,,,,,EDU,,,IND,JHARKHAND,IND,,,,,,,,0,010,010,01,1,0.0,1,1,1,6.54664484451718,1,Japan,JA,JA,36,138,JA,4,"Bhubaneswar, Orissa, India",IN,IN21,20.2333,85.8333,-2091695,5,"Odisha, Orissa, India",IN,IN21,20.5,84.4167,-2106554,20230813,https://indiaeducationdiary.in/world-anthropology-congress-concludes-at-kiss-indigenous-people-should-do-research-on-themselves-shri-arjun-munda/
1120684227,20230814,202308,2023,2023.6137,GBR,UNITED KINGDOM,GBR,,,,,,,,GOV,PRINCE,,,,,,GOV,,,1,013,013,01,1,0.4,4,1,4,3.19420163170163,4,"Sussex, East Sussex, United Kingdom",UK,UKE2,50.9167,-0.083333,-2609142,4,"Sussex, East Sussex, United Kingdom",UK,UKE2,50.9167,-0.083333,-2609142,4,"Sussex, East Sussex, United Kingdom",UK,UKE2,50.9167,-0.083333,-2609142,20230814,https://www.express.co.uk/news/royal/1801855/prince-harry-poll-royal-family-removed-line-of-succession
1120687036,20230814,202308,2023,2023.6137,AUS,AUSTRALIA,AUS,,,,,,,,,,,,,,,,,,1,030,030,03,1,4.0,34,4,34,-3.09477346003733,4,"Perth, Western Australia, Australia",AS,AS08,-31.9333,115.833,-1594675,0,,,,,,,4,"Perth, Western Australia, Australia",AS,AS08,-31.9333,115.833,-1594675,20230814,https://www.adnews.com.au/news/independent-agencies-are-investing-in-ai-and-pandc-despite-economic-headwinds
1120707110,20230814,202308,2023,2023.6137,USA,MIAMI,USA,,,,,,,,BRA,BRAZIL,BRA,,,,,,,,0,043,043,04,1,2.8,1,1,1,0,3,"Miami, Florida, United States",US,USFL,25.7743,-80.1937,295004,3,"Miami, Florida, United States",US,USFL,25.7743,-80.1937,295004,3,"Miami, Florida, United States",US,USFL,25.7743,-80.1937,295004,20230814,https://www.aceshowbiz.com/news/view/00210121.html
1120712602,20230814,202308,2023,2023.6137,GOV,GOVERNING PARTY,,,,,,GOV,,,,,,,,,,,,,1,141,141,14,3,-6.5,10,1,10,-2.66106442577031,1,South Africa,SF,SF,-30,26,SF,0,,,,,,,1,South Africa,SF,SF,-30,26,SF,20230814,https://sundayworld.co.za/news/eskom-not-for-sale-mbalula-assures-anc/
1120741996,20230814,202308,2023,2023.6137,REL,BISHOP,,,,,,,,,,,,,,,,,,,0,012,012,01,1,-0.4,3,1,3,-5.59701492537314,4,"Rumphi, Rumphi, Malawi",MI,MI21,-11.0195,33.8546,-1486756,0,,,,,,,4,"Mzimba, Mzimba, Malawi",MI,MI15,-11.8988,33.5931,-1485329,20230814,https://mwnation.com/people-told-to-access-family-planning-services/
1120769166,20230814,202308,2023,2023.6137,IRN,IRANIAN,IRN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,071,071,07,2,7.4,18,3,18,-3.74087017706077,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20230814,https://english.almayadeen.net/news/politics/iran-announces-fms-visit-to-saudi-arabia-in-near-future
1120794000,20230814,202308,2023,2023.6137,USACOP,UNITED STATES,USA,,,,,COP,,,USA,UNITED STATES,USA,,,,,,,,1,173,173,17,4,-5.0,7,2,7,-3.40221203892283,3,"Worcester, Massachusetts, United States",US,USMA,42.2626,-71.8023,617867,3,"Worcester, Massachusetts, United States",US,USMA,42.2626,-71.8023,617867,3,"Worcester, Massachusetts, United States",US,USMA,42.2626,-71.8023,617867,20230814,https://www.masslive.com/worcester/2023/08/worcesters-indian-lake-closing-tuesday-for-algae-treatment.html
1120805433,20220814,202208,2022,2022.6137,AUS,MELBOURNE,AUS,,,,,,,,IRL,IRELAND,IRL,,,,,,,,0,043,043,04,1,2.8,1,1,1,4.33789954337899,4,"North Melbourne, Victoria, Australia",AS,AS07,-37.8,144.967,-1592180,5,"Meath, Meath, Ireland",EI,EI21,53.6667,-6.66667,-1504473,5,"Meath, Meath, Ireland",EI,EI21,53.6667,-6.66667,-1504473,20230814,https://www.the42.ie/jennifer-dunne-dublin-aflw-6142464-Aug2023/
1120821225,20230814,202308,2023,2023.6137,DEU,GERMANY,DEU,,,,,,,,JPN,JAPAN,JPN,,,,,,,,1,043,043,04,1,2.8,4,1,4,-2.54957507082153,1,Germany,GM,GM,51.5,10.5,GM,1,Germany,GM,GM,51.5,10.5,GM,1,Germany,GM,GM,51.5,10.5,GM,20230814,https://247wallst.com/special-report/2023/08/14/the-most-mass-produced-planes-in-world-war-ii/
1120842649,20230814,202308,2023,2023.6137,,,,,,,,,,,MCOELI,ALBERT,MCO,,,,,ELI,,,0,042,042,04,1,1.9,6,1,6,-0.65359477124183,0,,,,,,,4,"Twickenham, Richmond upon Thames, United Kingdom",UK,UKL1,51.4333,-0.316667,-2610350,4,"Twickenham, Richmond upon Thames, United Kingdom",UK,UKL1,51.4333,-0.316667,-2610350,20230814,https://www.richmondandtwickenhamtimes.co.uk/news/national/uk-today/23721947.bbc-eastenders-shane-richie-prostate-cancer-storyline/
1120860969,20230814,202308,2023,2023.6137,nag,NAGA,,,nag,,,,,,,,,,,,,,,,1,110,110,11,3,-2.0,5,1,5,-0.35778175313059,0,,,,,,,0,,,,,,,0,,,,,,,20230814,http://morungexpress.com/naga-nation-is-a-nation-of-history
1120871867,20230815,202308,2023,2023.6164,,,,,,,,,,,CAN,CANADA,CAN,,,,,,,,0,036,036,03,1,4.0,5,1,5,-1.84859154929577,0,,,,,,,4,"Ottawa, Ontario, Canada",CA,CA08,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,45.4167,-75.7,-570760,20230815,https://www.theglobeandmail.com/world/article-afghanistan-taliban-takeover-canada/
1120874907,20230815,202308,2023,2023.6164,,,,,,,,,,,IND,MUMBAI,IND,,,,,,,,1,026,026,02,1,4.0,8,2,8,-1.10753060579138,0,,,,,,,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,20230815,https://www.indiagazette.com/news/273931510/pm-modi-spoke-less-on-manipur-during-his-speech-in-lok-sabha-sharad-pawar
1120896365,20230815,202308,2023,2023.6164,NGA,NIGERIAN,NGA,,,,,,,,,,,,,,,,,,0,010,010,01,1,0.0,2,2,2,-3.40681704773981,4,"Bayero, Nigeria (general), Nigeria",NI,NI00,8.43333,4.86667,-2002395,0,,,,,,,4,"Azben, Agadez, Niger",NG,NG01,18,8.5,-1077426,20230815,https://dailytrust.com/we-fear-military-action-will-split-our-families-in-niger-nigeria-residents-with-dual-citizenship-2/
1120896567,20230815,202308,2023,2023.6164,SAU,SAUDI,SAU,,,,,,,,,,,,,,,,,,0,120,120,12,3,-4.0,1,1,1,-3.6734693877551,4,"Riyad, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,0,,,,,,,4,"Riyad, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20230815,https://www.frontpagemag.com/palestinians-complain-biden-admin-has-done-nothing-for-them/
1120926801,20230815,202308,2023,2023.6164,LEG,PARLIAMENT,,,,,,LEG,,,TZA,TANZANIA,TZA,,,,,,,,0,057,057,05,1,8.0,10,1,10,-5.42740841248304,4,"Dar Es Salaam, Dar es Salaam, Tanzania",TZ,TZ23,-6.8,39.2833,-2562166,4,"Dar Es Salaam, Dar es Salaam, Tanzania",TZ,TZ23,-6.8,39.2833,-2562166,4,"Dar Es Salaam, Dar es Salaam, Tanzania",TZ,TZ23,-6.8,39.2833,-2562166,20230815,https://www.theeastafrican.co.ke/tea/news/east-africa/tanzania-accused-of-targeting-critics-of-dar-port-deal-4336026
1120952968,20230815,202308,2023,2023.6164,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,1,030,030,03,1,4.0,20,2,20,-1.42301038062283,1,Canada,CA,CA,60,-96,CA,0,,,,,,,1,Canada,CA,CA,60,-96,CA,20230815,https://www.marketscreener.com/quote/stock/NEW-FOUND-GOLD-CORP-110815244/news/New-Found-Intercepts-41-g-t-Au-Over-5-20M-13-g-t-Au-Over-10-45M-at-Iceberg-44616721/
1120966117,20230815,202308,2023,2023.6164,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,128,128,12,3,-5.0,1,1,1,-4.16666666666666,1,China,CH,CH,35,105,CH,0,,,,,,,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,20230815,https://businessden.com/2023/08/15/chinese-investors-in-vail-condos-lose-out-after-four-year-fight/
1120978183,20230815,202308,2023,2023.6164,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,015,015,01,1,0.0,1,1,1,-7.51633986928105,3,"Beaufort County, South Carolina, United States",US,USSC,32.3669,-80.6998,1247984,0,,,,,,,3,"Beaufort County, South Carolina, United States",US,USSC,32.3669,-80.6998,1247984,20230815,https://www.postandcourier.com/murdaugh-updates/cory-fleming-faces-sentencing-after-admitting-he-helped-alex-murdaugh-steal/article_19411376-3af6-11ee-92f2-ff6a19ef20b1.html
1120981382,20230815,202308,2023,2023.6164,SAU,SAUDI ARABIA,SAU,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,050,050,05,1,3.5,20,3,20,2.12120479443159,1,Saudi Arabia,SA,SA,25,45,SA,1,United States,US,US,39.828175,-98.5795,US,4,"Jerusalem, Israel (general), Israel",IS,IS00,31.7667,35.2333,-797092,20230815,https://www.jta.org/2023/08/15/israel/saudi-arabia-appoints-first-palestinian-envoy-as-saudi-israel-normalization-talks-continue
1120987513,20230815,202308,2023,2023.6164,UAF,TERRORIST,,,,,,UAF,,,,,,,,,,,,,1,043,043,04,1,2.8,4,1,4,-5.92885375494072,1,Uzbekistan,UZ,UZ,41.707542,63.84911,UZ,0,,,,,,,1,Uzbekistan,UZ,UZ,41.707542,63.84911,UZ,20230815,https://astanatimes.com/2023/08/kazakhstan-hosts-joint-military-exercises-with-uzbekistan/
1120994463,20230815,202308,2023,2023.6164,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,010,010,01,1,0.0,1,1,1,-3,3,"Miami, Florida, United States",US,USFL,25.7743,-80.1937,295004,0,,,,,,,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,20230815,https://news.yahoo.com/gop-debate-where-candidate-stands-150216957.html
1120997352,20230815,202308,2023,2023.6164,IDN,INDONESIA,IDN,,,,,,,,VNM,VIETNAM,VNM,,,,,,,,0,043,043,04,1,2.8,1,1,1,1.33414190418435,1,Iran,IR,IR,32,53,IR,4,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,VM44,21.0333,105.85,-3714993,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20230815,https://www.talkvietnam.com/tag/opening-session/
1121002059,20230815,202308,2023,2023.6164,EUR,EUROPE,EUR,,,,,,,,,,,,,,,,,,1,080,080,08,2,5.0,10,1,10,0,1,Spain,SP,SP,40,-4,SP,0,,,,,,,1,Spain,SP,SP,40,-4,SP,20230815,https://www.ifre.com/story/4068187/european-em-high-yield-preps-early-september-outing-mftwxtq8bj
1121024268,20230815,202308,2023,2023.6164,MED,MEDIA,,,,,,MED,,,GBRGOV,UNITED KINGDOM,GBR,,,,,GOV,,,1,090,090,09,2,-2.0,1,1,1,0,5,"Buckinghamshire, Buckinghamshire, United Kingdom",UK,UKB9,51.75,-0.75,-2591191,5,"Buckinghamshire, Buckinghamshire, United Kingdom",UK,UKB9,51.75,-0.75,-2591191,5,"Buckinghamshire, Buckinghamshire, United Kingdom",UK,UKB9,51.75,-0.75,-2591191,20230815,https://www.bucksfreepress.co.uk/news/23725262.interviewing-rishi-sunak-stoke-mandeville-hospital/
1121038980,20230815,202308,2023,2023.6164,,,,,,,,,,,GOVEDU,GOVERNMENT,,,,,,GOV,EDU,,0,014,014,01,1,0.0,8,1,8,-2.59179265658748,0,,,,,,,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20230815,https://www.thehindu.com/news/cities/Delhi/whom-should-the-govt-serve-you-or-a-few-rich-kejriwal-in-i-day-speech/article67198458.ece
1121071586,20230816,202308,2023,2023.6192,GOV,GOVERNMENT,,,,,,GOV,,,,,,,,,,,,,0,190,190,19,4,-10.0,6,1,6,-2.95151089248067,4,"Markstay, Ontario, Canada",CA,CA08,46.4833,-80.5333,-568757,0,,,,,,,4,"Markstay, Ontario, Canada",CA,CA08,46.4833,-80.5333,-568757,20230816,https://www.midnorthmonitor.com:443/news/local-news/when-opp-officers-approached-markstay-warren-home-they-took-no-chances
1121094765,20230816,202308,2023,2023.6192,LAB,WORKER,,,,,,LAB,,,USA,UNITED STATES,USA,,,,,,,,1,046,046,04,1,7.0,4,1,4,-5.05836575875486,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,20230816,https://www.cbsnews.com/chicago/news/trevian-kutti-trump-georgia-indictment/
1121096491,20230816,202308,2023,2023.6192,CAN,CANADA,CAN,,,,,,,,USAGOVAGR,KANSAS,USA,,,,,GOV,AGR,,1,046,046,04,1,7.0,2,1,2,1.92307692307692,4,"Saskatoon, Saskatchewan, Canada",CA,CA11,52.1333,-106.667,-573213,2,"Kansas, United States",US,USKS,38.5111,-96.8005,KS,2,"Kansas, United States",US,USKS,38.5111,-96.8005,KS,20230816,https://www.kctv5.com/2023/08/15/gov-kelly-announces-record-setting-agriculture-exports-nearly-55-billion/
